vertex_index,distance,angle,elev_8,x,y,elev_Ap,relief,velocity
58,254.06597890417561,228.66352482255172,5255.862,486671.767,3107013.001,5295.000,49.089,3.652
59,258.10541857913336,228.66352482034469,5257.712,486668.734,3107010.333,5295.000,49.089,3.652
60,262.14485825444240,228.66352482034469,5257.712,486665.701,3107007.665,5295.000,49.089,2.586
61,266.18429792940015,228.66352482255172,5264.813,486662.668,3107004.997,5296.000,50.664,2.586
62,270.22373760435789,217.32792294137192,5264.813,486659.635,3107002.329,5296.000,50.664,2.586
63,274.61440250032427,205.99232106186511,5266.721,486657.710,3106998.382,5296.000,51.793,1.712
64,279.00506739589758,205.99232106186511,5266.721,486655.786,3106994.436,5297.000,51.793,1.712
65,283.39573229186396,164.29878138584493,5276.011,486653.862,3106990.489,5298.000,51.608,1.712
66,286.76436039860010,122.60524171149765,5269.999,486656.700,3106988.674,5297.000,51.608,1.712
67,290.13298850533624,122.60524171149765,5269.999,486659.537,3106986.859,5297.000,51.608,1.712
68,293.50161661207238,100.07736023845960,5269.999,486662.375,3106985.043,5297.000,51.608,1.712
69,297.73018286131793,77.54947876542154,5262.382,486666.504,3106985.955,5297.000,51.608,1.712
70,301.95874911056347,77.54947876225594,5262.382,486670.633,3106986.867,5298.000,51.608,3.051
71,306.18731535985256,77.54947876225594,5257.693,486674.763,3106987.778,5298.000,51.608,3.051
72,310.41588160909811,77.54947876542154,5257.693,486678.892,3106988.690,5298.000,51.608,3.051
73,314.64444785834365,89.65580564509092,5256.628,486683.021,3106989.602,5300.000,51.608,3.051
74,319.29307836697865,101.76213252764290,5256.628,486687.572,3106988.654,5300.000,51.608,3.051
75,323.94170887565156,101.76213253045233,5257.120,486692.123,3106987.707,5302.000,51.102,3.051
76,328.59033938438142,101.76213252756978,5258.126,486696.674,3106986.759,5302.000,50.042,3.051
77,333.23896989301642,110.63778962203412,5258.126,486701.225,3106985.811,5302.000,50.042,3.051
78,336.62333351194769,119.51344671955070,5259.712,486704.170,3106984.144,5302.000,46.623,3.051
79,340.00769713082832,161.14610322674383,5259.104,486707.115,3106982.477,5305.000,46.623,3.051
80,344.63481569009127,202.77875973481045,5259.104,486705.324,3106978.211,5306.000,46.623,3.051
81,349.26193424892489,202.77875973592663,5258.031,486703.532,3106973.944,5303.000,50.042,3.051
82,353.88905280775850,202.77875973514273,5258.031,486701.741,3106969.678,5303.000,50.042,3.051
83,358.51617136704397,202.77875973514273,5258.268,486699.949,3106965.412,5302.000,48.881,3.051
84,363.14328992587758,202.77875973481045,5258.268,486698.158,3106961.146,5302.000,48.881,3.051
85,367.77040848514054,206.08602898890891,5257.990,486696.366,3106956.879,5300.000,47.757,3.051
86,372.24776485626637,209.39329824412363,5258.408,486694.169,3106952.978,5300.000,48.618,3.051
87,376.72512122739232,209.39329824412363,5258.363,486691.971,3106949.077,5300.000,47.623,3.051
