vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,330.78585958292120,4097.321,-1479336.756,766051.002,162.543,19.723
1,4.74007690267978,330.78585958326465,4097.321,-1479339.070,766055.139,162.543,19.723
2,9.48015380546118,326.57205132681412,4098.435,-1479341.383,766059.276,162.543,21.599
3,13.09399942267217,322.35824306945653,4098.435,-1479343.590,766062.138,162.543,21.599
4,16.70784503979097,340.36404612212095,4099.185,-1479345.797,766065.000,162.543,21.599
5,19.60799190787842,358.36984917531618,4099.367,-1479345.880,766067.899,162.543,22.769
6,22.50813877584951,9.23951182393359,4099.367,-1479345.962,766070.798,162.543,22.769
7,27.16449597321386,20.10917447282996,4097.510,-1479344.362,766075.170,162.543,23.032
8,31.82085317046890,27.79945798972034,4097.510,-1479342.761,766079.543,162.543,23.032
9,36.16381383480361,35.48974150591866,4098.878,-1479340.239,766083.079,162.543,23.395
10,40.50677449923311,35.48974150591865,4098.878,-1479337.718,766086.615,162.543,23.395
11,44.84973516356782,43.15795604416867,4097.138,-1479335.197,766090.151,162.543,23.395
12,49.05336197873238,50.82617058097056,4101.403,-1479331.938,766092.806,162.543,23.659
13,53.25698879371646,50.82617058097056,4101.403,-1479328.679,766095.462,162.543,23.659
14,57.46061560888104,53.86285237417468,4097.690,-1479325.420,766098.117,162.543,23.395
15,61.37337602143450,56.89953416709054,4100.277,-1479322.142,766100.254,162.543,23.395
16,65.28613643392438,56.89953416709054,4099.798,-1479318.865,766102.391,162.543,23.395
17,69.19889684647782,56.89953416637650,4099.798,-1479315.587,766104.527,162.543,23.395
18,73.11165725903130,63.17279004494426,4099.798,-1479312.309,766106.664,162.543,23.395
19,77.97870558537386,69.44604592351202,4106.140,-1479307.752,766108.373,162.543,24.087
20,82.84575391171640,69.44604592351202,4105.521,-1479303.195,766110.082,162.543,24.087
21,87.71280223805896,74.55810249381560,4105.521,-1479298.637,766111.790,162.543,24.087
22,92.53713795609661,79.67015906479928,4105.305,-1479293.891,766112.656,162.543,24.087
23,97.36147367411340,79.67015906479928,4105.305,-1479289.145,766113.521,162.543,24.087
24,102.18580939215106,79.67015906479928,4104.611,-1479284.399,766114.386,162.543,24.087
25,107.01014511016784,79.67015906479928,4104.611,-1479279.653,766115.251,162.543,24.087
26,111.83448082820550,79.25479772237408,4108.185,-1479274.907,766116.116,162.543,24.612
27,116.28513229593393,78.83943638091910,4108.185,-1479270.540,766116.977,162.543,24.612
28,120.73578376389079,78.83943638091912,4107.258,-1479266.174,766117.839,162.543,24.612
29,125.18643523161921,78.83943638062900,4106.784,-1479261.807,766118.700,162.543,24.136
30,129.63708669934766,80.28875430758056,4106.784,-1479257.441,766119.562,162.543,24.136
31,133.87370705301538,81.73807223553737,4107.112,-1479253.248,766120.170,162.543,24.060
32,138.11032740689677,81.73807223654264,4107.112,-1479249.056,766120.779,162.543,24.060
33,142.34694776077816,81.73807223553740,4107.417,-1479244.863,766121.388,153.986,24.060
34,146.58356811444588,85.78476985107730,4107.417,-1479240.670,766121.997,153.986,24.060
35,150.93743675377769,89.83146746762696,4105.091,-1479236.316,766122.010,153.986,24.060
36,155.29130539334233,89.83146746762694,4105.091,-1479231.963,766122.022,153.986,24.060
37,159.64517403267413,92.03420014121582,4099.323,-1479227.609,766122.035,153.986,24.060
38,162.94821631911418,94.23693281480918,4099.323,-1479224.315,766121.791,153.986,24.060
39,166.25125860555423,70.91933050294173,4099.323,-1479221.021,766121.547,153.986,24.060
40,169.85207011217389,47.60172819175826,4098.224,-1479218.362,766123.975,153.986,24.060
41,173.45288161871505,47.60172819175826,4099.689,-1479215.702,766126.403,153.986,24.332
42,177.05369312533472,51.67233024228994,4099.689,-1479213.043,766128.831,153.986,24.332
43,181.09218849755456,55.74293229350558,4098.620,-1479209.705,766131.104,153.986,23.958
44,185.13068386977440,52.71644929133650,4101.629,-1479206.368,766133.378,159.110,23.958
45,189.30215054997069,49.68996628959222,4101.240,-1479203.187,766136.076,159.110,22.199
46,193.47361723041976,49.68996628959224,4101.240,-1479200.006,766138.775,159.110,22.199
47,197.64508391061605,50.94289389382462,4103.023,-1479196.825,766141.474,159.110,22.199
48,201.89800081490148,52.19582149786222,4102.613,-1479193.464,766144.080,159.110,20.912
49,206.15091771925833,39.76666144456535,4102.613,-1479190.104,766146.687,159.110,20.912
50,210.17838796317309,27.33750139226831,4102.916,-1479188.255,766150.265,159.110,20.912
51,214.20585820698443,27.33750139226833,4102.258,-1479186.405,766153.843,159.110,19.511
52,218.23332845089925,27.33750139188804,4102.655,-1479184.555,766157.420,159.110,19.511
53,222.26079869481404,25.24191981006364,4102.655,-1479182.706,766160.998,159.110,19.511
54,226.80323165948352,23.14633822823924,4102.655,-1479180.920,766165.175,159.110,19.511
55,231.34566462415299,23.14633822823924,4102.897,-1479179.135,766169.352,159.110,17.854
56,235.88809758882249,18.65519897074099,4102.897,-1479177.349,766173.528,159.110,17.854
57,239.84300394314468,14.16405971140111,4103.884,-1479176.381,766177.363,159.110,17.854
58,243.79791029752280,358.87443506033162,4103.884,-1479175.414,766181.198,159.110,17.854
59,248.76999222373252,343.58481041220097,4104.280,-1479176.819,766185.967,159.110,17.854
60,253.74207414976476,358.03104059108625,4104.026,-1479178.224,766190.737,159.110,17.771
61,258.62984142465399,12.47727076754193,4104.026,-1479177.168,766195.509,159.110,17.771
62,263.51760869949288,24.84363969653113,4104.208,-1479176.112,766200.281,159.110,17.169
63,267.60698908900423,37.21000862864497,4104.208,-1479173.639,766203.538,159.110,17.169
64,271.69636947856367,41.48536029114337,4104.208,-1479171.166,766206.795,159.110,17.169
65,276.30005945891349,45.76071195184954,4103.760,-1479167.868,766210.007,159.110,17.065
66,280.90374943926332,45.76071195184954,4103.760,-1479164.569,766213.219,159.110,17.065
67,285.50743941961315,43.59239362365533,4103.341,-1479161.271,766216.430,159.110,17.824
68,289.91391792627184,41.42407529546110,4103.341,-1479158.356,766219.734,159.110,17.824
69,294.32039643293052,41.42407529596185,4103.341,-1479155.440,766223.039,159.110,17.824
70,298.72687493950190,41.42407529596185,4102.641,-1479152.525,766226.343,159.110,18.352
71,303.13335344616058,42.20331078339512,4102.641,-1479149.609,766229.647,159.110,18.352
72,306.64563245485937,42.98254627132914,4103.009,-1479147.215,766232.216,159.110,18.148
73,310.15791146355815,42.98254627132914,4102.231,-1479144.820,766234.786,159.110,18.148
74,313.67019047225693,46.34716754570874,4102.231,-1479142.426,766237.355,159.110,18.148
75,317.44773109641204,49.71178882055666,4102.231,-1479139.544,766239.798,159.110,18.148
76,321.22527172082005,49.71178882055666,4103.131,-1479136.663,766242.241,159.110,17.638
77,325.00281234497515,52.58784223017978,4103.131,-1479133.781,766244.683,159.110,17.638
78,329.42700077122265,55.46389563941652,4103.131,-1479130.137,766247.191,159.110,17.638
79,333.85118919727836,53.52357728463372,4102.660,-1479126.492,766249.700,159.110,17.592
80,337.83167339460010,51.58325893070570,4102.660,-1479123.373,766252.173,159.110,17.592
81,341.81215759192185,51.58325893070570,4101.937,-1479120.255,766254.646,139.722,17.592
82,345.79264178924359,51.59853380437598,4101.538,-1479117.136,766257.120,139.722,18.779
