vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,70.85750613495594,320.930,-1024001.585,-1551710.652,56.250,0.690
1,2.51639204354970,33.65020941517889,321.914,-1023999.208,-1551709.827,56.906,0.690
2,5.89198785912264,356.44291269540184,322.383,-1023999.417,-1551706.458,57.586,0.690
3,9.26758367469558,351.52285909893828,322.891,-1023999.626,-1551703.089,58.563,0.690
4,12.78035912196447,346.60280550295840,322.836,-1024000.440,-1551699.672,59.656,0.690
5,16.29313456897990,340.56997991477800,323.281,-1024001.254,-1551696.255,60.328,0.690
6,21.09134174423054,311.16519658154533,324.977,-1024003.317,-1551691.923,61.938,0.690
7,23.27637903687495,272.00498868995851,325.227,-1024005.398,-1551691.255,61.938,0.690
8,25.86699333197237,256.21673854074652,325.539,-1024007.914,-1551691.872,61.938,0.690
9,28.45760762723831,241.30911412669428,325.680,-1024010.430,-1551692.489,61.328,0.690
10,31.60263191571722,251.23833499943444,324.984,-1024012.707,-1551694.658,60.805,0.690
11,33.55411537211682,322.02188572770467,325.000,-1024014.648,-1551694.452,60.805,0.690
12,36.69232609187183,15.34196123930071,325.773,-1024014.213,-1551691.344,61.938,0.690
13,40.29151082235740,348.80912120974835,326.047,-1024012.823,-1551688.024,62.320,0.690
14,43.07416750320618,287.04737599229651,325.344,-1024014.794,-1551686.059,62.758,0.690
15,47.54214020409496,259.19184087099484,325.125,-1024019.183,-1551686.897,62.758,0.690
16,52.01011290514176,286.92087872583397,326.977,-1024023.571,-1551687.735,62.758,0.690
17,54.36477259122434,296.99166599959136,328.234,-1024025.246,-1551686.080,62.352,0.690
18,57.10043690710584,293.85992002601574,328.477,-1024027.946,-1551685.637,62.180,0.690
19,61.31418287652212,314.44602584334007,331.188,-1024031.249,-1551683.020,61.914,0.690
20,64.24621767114834,320.50562705126276,333.297,-1024033.114,-1551680.757,62.336,0.690
21,67.17825246552088,320.18647046989776,335.047,-1024034.978,-1551678.495,62.836,0.690
22,71.68162633096706,314.61742395135332,337.133,-1024037.881,-1551675.052,63.656,0.690
23,75.73508677456849,287.61185029901196,339.633,-1024041.015,-1551672.481,64.234,0.690
24,77.87814498444457,256.46561358507353,339.953,-1024043.152,-1551672.635,64.031,0.690
25,81.00573961425226,255.32581991055633,340.492,-1024046.033,-1551673.854,63.703,0.690
26,83.58885607980557,263.57657923281880,340.430,-1024048.600,-1551674.143,63.055,0.690
27,86.17197254538490,275.75141764616933,340.758,-1024051.167,-1551674.432,62.992,0.690
28,88.65512172322124,312.43394086818830,341.461,-1024053.529,-1551673.667,63.156,0.690
29,90.19991060385841,334.07204806790025,341.789,-1024054.134,-1551672.246,62.359,0.690
30,91.55145689059015,321.59020778284173,341.852,-1024054.785,-1551671.062,63.039,0.690
31,93.99911152382457,311.21862384062678,341.867,-1024056.605,-1551669.425,63.117,0.690
32,96.75046629324942,314.41689606134668,342.633,-1024058.698,-1551667.639,62.891,0.690
33,98.60933037924099,339.63288382215029,342.633,-1024059.933,-1551666.250,62.891,0.690
34,100.56854739650556,25.16055794422852,342.727,-1024059.903,-1551664.291,63.219,0.690
35,102.39941908785480,80.56849346100132,343.023,-1024058.512,-1551663.100,63.891,0.690
36,105.22307182825529,118.46063622944168,342.547,-1024055.888,-1551664.144,64.469,0.690
37,106.62140527866498,106.65598679611570,342.547,-1024054.746,-1551664.951,64.469,0.690
38,109.01410014712233,75.60667916626244,342.406,-1024052.355,-1551664.871,65.266,0.690
39,111.57592814467344,38.53228513981962,342.227,-1024050.070,-1551663.713,66.391,0.690
40,113.03716058441896,351.82796895507431,341.859,-1024049.717,-1551662.295,66.453,0.690
41,114.31106758402930,312.60823891944057,341.906,-1024050.360,-1551661.195,67.086,0.690
42,116.12339970217302,313.31037699873747,341.906,-1024051.996,-1551660.414,67.086,0.690
43,118.68035518297700,354.06402984874512,342.273,-1024053.231,-1551658.175,67.078,0.690
44,121.12984462182098,29.46378705880042,343.352,-1024052.514,-1551655.833,67.633,0.690
45,125.09509278698233,22.61532700471179,343.461,-1024049.865,-1551652.882,67.242,0.690
46,126.17130563295525,337.20550541377139,344.586,-1024049.803,-1551651.808,66.148,0.690
47,127.72707424786294,327.07208578198129,344.719,-1024050.976,-1551650.785,66.148,0.690
48,129.09190595945734,310.49804883351902,345.359,-1024051.373,-1551649.480,64.438,0.690
49,131.15892005378126,265.92704275208899,344.984,-1024053.421,-1551649.194,64.438,0.690
50,133.48226149065533,262.24922223471663,345.000,-1024055.653,-1551649.838,64.438,0.690
51,135.62151648928520,281.67843313527482,345.172,-1024057.792,-1551649.816,64.438,0.690
52,137.23155767555886,317.42310496886199,345.617,-1024059.277,-1551649.193,63.352,0.690
53,139.58525583671914,323.23886064974914,345.555,-1024060.001,-1551646.953,62.695,0.690
54,140.89520810213520,281.55526686737699,345.555,-1024061.082,-1551646.213,62.695,0.690
55,143.08211006460155,256.25425776933986,345.469,-1024063.226,-1551646.641,62.695,0.690
56,146.35936856435384,265.27861546258652,345.922,-1024066.374,-1551647.556,62.695,0.690
57,149.94479796554469,297.04818068520751,346.516,-1024069.934,-1551647.134,62.563,0.690
58,152.64537901796865,321.96451577343146,346.766,-1024071.764,-1551645.148,60.961,0.690
59,155.37116804906813,344.84446812112282,347.805,-1024073.265,-1551642.873,60.094,0.690
60,157.07170190640187,37.61481496744163,347.703,-1024073.173,-1551641.175,58.945,0.690
61,158.50728888171332,76.89835180003089,346.531,-1024071.807,-1551640.734,58.945,0.690
62,161.34694115686182,71.19344514867124,345.844,-1024068.997,-1551640.322,58.945,0.690
63,163.65933091792209,53.97386435026814,345.875,-1024066.980,-1551639.192,58.477,0.690
64,164.97894830158896,23.98602536191532,345.875,-1024066.012,-1551638.295,58.477,0.690
65,166.46875218458644,338.21533899401169,346.320,-1024065.992,-1551636.806,57.898,0.690
66,167.60347370355913,319.90573704332974,346.656,-1024066.785,-1551635.994,56.820,0.690
