vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,230.73148819865523,4536.126,-1481168.435,781463.829,151.877,24.210
1,3.87615317996176,255.63090338085232,4534.573,-1481171.435,781461.376,151.877,25.087
2,8.76750409027307,301.85955783723165,4533.748,-1481176.244,781462.270,151.877,21.092
3,11.81979214744783,323.18879711381805,4533.748,-1481178.073,781464.713,151.877,21.092
4,14.87208020457628,337.74007340682090,4533.748,-1481179.902,781467.157,151.877,21.092
5,18.75799617759490,352.29134969730433,4535.414,-1481180.423,781471.008,151.877,20.379
6,22.64391215049817,352.29134969730433,4535.414,-1481180.945,781474.859,151.877,20.379
7,26.52982812351679,352.55600918084923,4535.895,-1481181.466,781478.709,151.877,20.379
8,31.00594402870714,352.82066866427903,4535.895,-1481182.025,781483.150,151.877,20.379
9,35.48205993389749,349.28369517558542,4535.948,-1481182.585,781487.591,151.877,20.379
10,38.41322908627876,345.74672168717177,4535.948,-1481183.306,781490.432,151.877,20.379
11,41.34439823877286,321.76329367779027,4533.731,-1481184.028,781493.273,151.877,18.950
12,44.70717492003628,254.41748658727269,4534.932,-1481187.003,781494.841,151.877,20.032
13,48.46911809228764,211.05510750687401,4533.731,-1481188.944,781491.618,151.877,18.950
14,52.23106126443926,210.72808233237868,4533.731,-1481190.885,781488.395,151.877,18.950
15,55.00970631956220,210.40105715681864,4530.364,-1481192.291,781485.998,151.877,17.488
16,57.78835137478554,229.34041247643145,4530.364,-1481193.697,781483.602,151.877,17.488
17,60.39028300520110,248.27976779665164,4530.364,-1481196.114,781482.639,151.877,17.488
18,62.99221463561666,263.40134330546033,4530.364,-1481198.531,781481.676,151.877,17.488
19,65.61345258004914,278.52291881426896,4529.683,-1481201.123,781482.065,151.877,17.488
20,68.23469052448161,289.28186558270323,4529.683,-1481203.716,781482.453,151.877,17.488
21,72.23759007529624,300.04081235113756,4529.683,-1481207.181,781484.457,151.877,17.488
22,76.24048962611090,314.09680709356650,4530.653,-1481210.646,781486.461,151.877,17.254
23,79.95026026799827,328.15280183752270,4530.444,-1481212.604,781489.612,151.877,18.548
24,83.66003090976282,329.91932671430766,4530.444,-1481214.561,781492.763,151.877,18.548
25,87.79184310483434,331.68585159098654,4530.910,-1481216.521,781496.401,151.877,18.497
26,91.92365529979541,313.78349206070124,4530.910,-1481218.481,781500.038,151.877,18.497
27,95.17095493309230,295.88113252989132,4530.910,-1481221.402,781501.456,151.877,18.497
28,98.41825456617973,308.27017303498303,4530.910,-1481224.324,781502.873,151.877,18.497
29,102.28131308603965,320.65921353917810,4531.327,-1481226.773,781505.861,151.070,18.247
30,106.14437160589956,320.65921353917810,4531.327,-1481229.222,781508.849,151.070,18.247
31,110.00743012575946,320.65921353917810,4531.526,-1481231.671,781511.836,151.070,18.247
32,113.87048864561937,323.86020556159241,4532.140,-1481234.119,781514.824,151.070,17.428
33,117.68323413782680,327.06119758499926,4532.140,-1481236.193,781518.024,151.070,17.428
34,121.49597962980992,327.06119758499926,4532.791,-1481238.266,781521.224,151.070,18.244
35,125.30872512201734,331.30572708589227,4532.791,-1481240.339,781524.423,151.070,18.244
36,129.72900111762252,335.55025658915156,4536.264,-1481242.168,781528.447,151.070,16.293
