vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,39.19157283580803,4133.243,-1479685.487,767035.097,137.535,11.968
1,3.55862229886713,39.19157283521583,4131.039,-1479683.238,767037.855,137.535,11.593
2,7.11724459782448,39.19157283521581,4131.039,-1479680.989,767040.613,137.535,11.593
3,10.67586689669160,35.16815938913176,4131.039,-1479678.740,767043.371,137.535,11.593
4,15.59827432596719,31.14474594280590,4130.908,-1479676.195,767047.584,137.535,12.186
5,20.52068175514315,31.14474594280589,4129.139,-1479673.649,767051.797,137.535,12.741
6,25.44308918441875,31.14474594245549,4129.139,-1479671.103,767056.010,137.535,12.741
7,30.36549661369434,38.38627120491074,4129.657,-1479668.557,767060.223,137.535,13.223
8,34.54190434900716,45.62779646679520,4129.784,-1479665.572,767063.144,137.535,13.223
9,38.71831208440138,45.62779646679520,4129.784,-1479662.586,767066.064,137.535,13.223
10,42.89471981971419,51.06576939093566,4131.316,-1479659.601,767068.985,137.535,13.552
11,46.91825023091706,56.50374231611142,4133.126,-1479656.246,767071.205,137.535,13.552
12,50.94178064224982,56.50374231611142,4133.126,-1479652.890,767073.426,137.535,13.552
13,54.96531105345268,33.43642496773859,4133.902,-1479649.535,767075.646,137.535,13.552
14,58.36708003783460,10.36910762114833,4134.934,-1479648.923,767078.993,137.535,14.392
15,61.76884902210200,10.36910762114833,4134.934,-1479648.310,767082.339,137.535,14.392
16,65.17061800648392,29.06258718522468,4134.638,-1479647.698,767085.685,137.535,15.206
17,68.75652139402146,47.75606674947748,4134.638,-1479645.043,767088.096,137.535,15.206
18,72.34242478155900,60.18863794054080,4131.291,-1479642.389,767090.507,137.535,15.206
19,76.67559173135442,72.62120913206388,4131.291,-1479638.254,767091.801,137.535,15.206
20,81.00875868137204,73.43892258197727,4127.427,-1479634.118,767093.095,137.535,15.206
21,85.99976094196398,74.25663603143082,4127.699,-1479629.314,767094.449,137.535,15.770
22,90.99076320255593,74.28008087948766,4126.398,-1479624.511,767095.803,137.535,15.226
23,94.80135857398056,74.30352572670196,4126.398,-1479620.842,767096.834,137.535,15.226
24,98.61195394543672,60.22693865487100,4127.310,-1479617.174,767097.865,137.535,15.087
25,102.83201987610578,46.15035158388266,4127.310,-1479614.130,767100.789,137.535,15.087
26,107.05208580677484,46.15035158388266,4127.989,-1479611.087,767103.712,137.535,15.087
27,111.27215173744391,50.21785820804684,4129.614,-1479608.044,767106.636,137.535,16.523
28,114.89940079490285,54.28536483295756,4129.614,-1479605.099,767108.753,137.535,16.523
29,118.52664985229382,54.28536483295756,4130.469,-1479602.153,767110.871,137.876,16.523
30,122.15389890975275,42.59124727496033,4131.680,-1479599.208,767112.988,142.193,16.838
31,125.95757332585615,30.89712971921437,4131.680,-1479597.255,767116.252,142.193,16.838
32,129.76124774207906,3.87930269044645,4132.383,-1479595.302,767119.516,142.193,16.527
33,134.34967902511207,336.86147565988824,4132.383,-1479597.105,767123.735,142.193,16.527
34,138.93811030803801,319.75554169731163,4133.287,-1479598.908,767127.955,142.193,17.544
35,142.00329837905775,302.64960773593685,4133.287,-1479601.489,767129.608,142.193,17.544
36,145.06848645014031,282.90548558070890,4133.315,-1479604.070,767131.262,137.876,15.215
37,149.06038119673323,263.16136342393440,4133.315,-1479608.033,767130.787,137.876,15.215
38,153.05227594357120,263.16136342393440,4132.250,-1479611.997,767130.311,137.876,14.120
39,157.04417069016412,261.63641310825750,4132.250,-1479615.960,767129.836,137.876,14.120
