vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,8.18327234831702,4622.607,-1484712.571,785310.382,152.319,12.479
1,3.38930725054998,333.82557487133823,4622.697,-1484712.089,785313.736,152.319,13.634
2,7.14958055406277,332.78363839341142,4622.697,-1484715.363,785315.586,152.319,13.634
3,9.84880559327948,6.09939939233212,4622.697,-1484715.076,785318.270,152.319,13.634
4,12.54803063261194,8.38894440804383,4622.962,-1484714.789,785320.954,129.971,13.828
5,16.55337375195090,10.67848942536901,4622.962,-1484714.047,785324.890,129.971,13.828
6,20.55871687144741,357.20433156758742,4622.962,-1484713.305,785328.826,129.971,13.828
7,23.61155472944175,343.73017370832383,4623.085,-1484714.160,785331.757,129.971,14.058
8,26.66439258743609,324.04882101347715,4623.085,-1484715.015,785334.687,129.971,14.058
9,30.89562077784299,304.36746831863042,4623.085,-1484718.508,785337.076,129.971,14.058
10,35.12684896824988,300.55151506595286,4622.268,-1484722.000,785339.464,129.971,12.570
11,38.33777914194419,296.73556181327535,4622.268,-1484724.868,785340.909,129.971,12.570
12,41.54870931563850,294.20205844584024,4622.268,-1484727.736,785342.353,129.971,12.570
13,44.73214768224039,291.66855507665792,4622.342,-1484730.694,785343.529,139.794,12.570
14,47.91558604901568,288.96098100205717,4622.342,-1484733.653,785344.704,139.794,12.570
15,50.48665420484638,286.25340692920361,4623.933,-1484736.121,785345.424,139.794,12.570
16,53.05772236067708,289.13256041566262,4623.093,-1484738.589,785346.143,139.794,12.570
17,57.59433980272394,310.11969383973570,4623.093,-1484742.795,785347.844,139.794,12.570
18,61.36545967479494,328.22767377781543,4625.654,-1484744.781,785351.050,139.794,12.570
19,65.13657954696492,349.01437584260714,4624.390,-1484746.766,785354.256,139.794,12.570
20,68.51282624405773,9.80107790676502,4624.390,-1484746.192,785357.583,139.794,12.570
21,71.88907294126528,33.91887030618818,4624.390,-1484745.617,785360.910,139.794,12.570
22,76.84426101448292,60.68148462348774,4621.916,-1484741.413,785363.533,139.794,12.570
23,81.83027345381603,63.32630654119882,4621.916,-1484736.958,785365.771,139.794,12.570
24,86.81628589340949,60.67210395564580,4621.346,-1484732.502,785368.009,139.794,12.570
25,91.70885866453186,58.01790137008992,4621.315,-1484728.352,785370.601,139.794,12.862
26,96.60143143565423,52.01758508845088,4621.425,-1484724.202,785373.192,129.971,12.862
27,100.90265651403774,46.01726880625392,4621.425,-1484721.107,785376.179,129.971,12.862
28,105.20388159250206,31.54152990197208,4622.796,-1484718.013,785379.166,129.971,13.259
29,108.96424218815682,6.99651291461848,4622.796,-1484716.909,785382.761,129.971,13.259
30,111.92321150897456,356.92723483092846,4622.796,-1484717.068,785385.715,129.971,13.259
31,114.88218082967606,351.07736762819980,4623.820,-1484717.226,785388.670,129.971,13.350
32,118.47387120885722,345.22750042553156,4623.820,-1484718.142,785392.143,129.971,13.350
33,122.06556158803838,345.22750042553156,4625.011,-1484719.058,785395.616,129.971,13.403
34,125.65725196721954,324.16615401787340,4622.802,-1484719.974,785399.089,129.971,13.403
35,128.96165200138444,303.10480760826727,4622.802,-1484722.742,785400.894,129.971,13.403
36,132.26605203568081,303.44271001193374,4622.802,-1484725.510,785402.699,129.971,13.403
37,136.25134477485057,303.78061241754818,4622.121,-1484728.822,785404.914,139.794,14.358
38,140.23663751402032,303.78061241754818,4622.121,-1484732.135,785407.130,139.794,14.358
39,144.22193025319007,308.28353677369802,4622.121,-1484735.447,785409.346,139.794,14.358
40,148.53240370185705,312.78646112984779,4621.798,-1484738.610,785412.274,139.794,14.358
41,152.84287715052403,320.74613246366363,4621.798,-1484741.774,785415.202,139.794,14.358
42,157.17208955659382,328.70580379879607,4621.798,-1484744.023,785418.902,139.794,14.358
43,161.50130196254267,325.80000085958528,4621.750,-1484746.271,785422.601,139.794,14.358
44,166.28466730420882,322.89419791974939,4621.750,-1484749.157,785426.416,139.794,14.358
45,171.06803264564167,311.20452059088399,4621.729,-1484752.043,785430.231,139.794,14.358
46,174.84499696352532,299.51484326219719,4621.381,-1484755.330,785432.091,139.794,13.789
47,178.62196128120635,299.51484326219719,4621.381,-1484758.617,785433.952,139.794,13.789
48,182.39892559909001,307.38433446229976,4622.142,-1484761.903,785435.813,139.794,14.045
49,186.44015877839453,315.25382566327249,4621.407,-1484764.748,785438.683,139.794,14.045
50,190.48139195769900,322.12617633337055,4621.407,-1484767.593,785441.553,139.794,14.045
51,194.43198145038963,328.99852700535064,4623.436,-1484769.628,785444.939,139.794,15.524
52,198.38257094306013,331.37715105355500,4622.858,-1484771.663,785448.326,139.794,15.524
53,201.83437806905661,333.75577509814417,4622.858,-1484773.189,785451.422,139.794,15.524
54,205.28618519515595,333.75577509814417,4622.640,-1484774.715,785454.518,139.794,15.524
55,208.73799232115243,335.82622281582906,4622.640,-1484776.242,785457.614,139.794,15.524
56,212.36009099198384,337.89667053348700,4624.623,-1484777.605,785460.970,139.794,15.941
57,215.98218966272765,337.89667053348700,4623.830,-1484778.968,785464.325,145.288,15.941
58,219.60428833355903,331.24200853983513,4623.830,-1484780.331,785467.681,145.288,15.941
59,223.72562280548769,324.58734654967748,4623.382,-1484782.719,785471.040,145.288,15.941
60,227.84695727737633,356.43071598392515,4623.382,-1484785.107,785474.399,145.288,15.941
61,230.87412481142832,28.27408541690687,4623.382,-1484783.673,785477.065,145.288,15.941
62,233.90129234537781,12.42923972102573,4623.108,-1484782.239,785479.731,145.288,15.941
63,237.18861591559619,356.58439402462272,4623.108,-1484782.435,785483.013,145.288,15.941
64,240.47593948581465,341.46856787579958,4623.108,-1484782.631,785486.294,145.288,15.941
65,243.62990289571704,326.35274172521605,4622.749,-1484784.378,785488.920,145.288,15.941
66,246.78386630574849,324.81238607463928,4623.866,-1484786.126,785491.545,145.288,15.941
67,250.47786638768443,333.90980940238768,4623.866,-1484788.335,785494.506,145.288,15.941
68,253.32416203905265,344.54758837895247,4622.879,-1484789.093,785497.249,145.288,15.941
69,256.17045769042085,350.05119176275298,4622.879,-1484789.852,785499.993,145.288,15.941
70,261.10067519081656,349.47001031052736,4621.629,-1484790.234,785504.908,145.288,15.941
71,265.89233015919177,330.75765904632465,4621.629,-1484791.604,785509.500,145.288,15.941
72,269.41099369974546,332.61109816380173,4620.575,-1484793.952,785512.120,145.288,15.941
73,272.98335388931793,326.53778312191503,4622.455,-1484794.750,785515.602,145.288,15.941
74,277.54626691315673,321.00258686886997,4622.455,-1484798.443,785518.283,145.288,15.941
75,281.60090093796089,336.02171120336544,4621.289,-1484800.090,785521.988,145.288,15.941
76,285.65553496276505,326.62325272889620,4621.289,-1484801.738,785525.692,145.288,15.941
77,289.84636416024762,320.45138755259671,4622.723,-1484804.584,785528.769,145.288,15.941
78,294.29823483187039,308.82210480297869,4622.723,-1484807.221,785532.355,145.288,15.941
79,298.09948599964508,295.34896316779714,4625.742,-1484810.695,785533.900,145.288,15.941
80,302.38701304344943,310.17594823845161,4625.742,-1484814.524,785535.828,145.288,15.941
81,305.63117734957160,323.62019889545451,4624.602,-1484816.448,785538.440,145.288,15.333
82,308.87534165592558,316.01253584390446,4624.602,-1484818.372,785541.052,145.288,15.333
83,312.50111465364290,296.54286552371912,4627.724,-1484821.214,785543.304,145.288,15.512
84,316.01485119469635,308.37769894766308,4627.724,-1484824.613,785544.195,145.288,15.512
85,320.13641551996920,332.07453964090894,4626.777,-1484826.543,785547.836,145.288,15.339
