vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,198.75946405782983,54.836,998940.623,-606289.985,21.563,14.552
1,3.99696978320742,198.75946405677149,55.188,998939.338,-606293.770,21.703,14.552
2,7.99393956648764,198.75946405650313,55.305,998938.052,-606297.554,21.695,14.552
3,11.99090934980529,198.75946405756153,55.813,998936.767,-606301.339,21.703,14.552
4,15.98787913301271,169.54468815975488,56.742,998935.481,-606305.124,21.336,14.552
5,20.05923239000729,140.32991226167991,56.031,998938.080,-606308.258,20.984,14.552
6,24.13058564700187,140.32991226104940,55.883,998940.679,-606311.391,20.773,14.552
7,28.20193890407076,140.32991226104937,56.164,998943.278,-606314.525,20.273,14.552
8,32.27329216106534,150.62004568192577,56.266,998945.877,-606317.659,20.016,14.552
9,36.76349997310095,160.91017910287351,56.523,998947.346,-606321.902,20.109,14.552
10,41.25370778509849,160.91017910287351,57.086,998948.814,-606326.146,20.883,14.552
11,45.74391559713410,138.46261230185416,57.555,998950.283,-606330.389,21.266,14.552
12,49.66162973185612,116.01504550267516,58.023,998953.804,-606332.107,21.398,14.552
13,53.57934386652456,116.01504550267516,59.000,998957.324,-606333.826,21.398,14.552
14,57.49705800124658,135.24948935984702,60.289,998960.845,-606335.544,21.492,14.552
15,62.38229689393286,154.48393321815726,61.047,998962.950,-606339.953,21.633,14.552
16,67.26753578661913,199.09526083429327,61.805,998965.054,-606344.361,21.664,14.552
17,71.74827214392867,243.70658845075900,61.375,998961.037,-606346.346,21.594,14.552
18,76.22900850134258,196.73707472158543,61.781,998957.020,-606348.331,21.547,14.552
19,80.48416124035872,149.76756099168759,62.000,998959.162,-606352.008,21.422,14.552
20,84.73931397927429,137.17154542667413,62.055,998961.305,-606355.684,21.383,23.247
21,89.48569648904137,124.57552986303260,62.703,998965.213,-606358.377,21.352,23.247
22,94.23207899877868,168.04202659492398,64.125,998969.121,-606361.071,21.336,23.247
23,97.63620636957610,211.50852332449080,63.328,998967.342,-606363.973,21.305,23.247
24,101.04033374041192,211.50852332449080,63.102,998965.563,-606366.875,25.797,23.247
25,104.44446111120934,198.27532133620969,63.336,998963.784,-606369.778,28.586,23.247
26,108.22405474816152,185.04211934658133,63.906,998963.451,-606373.543,31.016,23.247
27,112.00364838511371,151.93939351436561,64.523,998963.119,-606377.308,32.555,23.247
28,116.24945457712352,118.83666768321677,64.922,998966.839,-606379.355,31.922,23.247
29,120.49526076908749,118.83666768321677,65.578,998970.558,-606381.403,31.023,23.247
30,124.74106696109730,131.72302128523958,66.500,998974.277,-606383.451,30.289,23.247
31,128.83034838018048,144.60937488785700,66.750,998976.646,-606386.785,31.234,23.247
32,132.91962979916877,124.54444180252582,66.828,998979.014,-606390.118,31.984,23.247
33,136.63791220046707,104.47950871853541,67.445,998982.614,-606391.048,30.820,23.247
34,140.35619460179447,119.08531664313504,68.602,998986.214,-606391.978,29.227,23.247
35,144.66668435092251,170.28469127443006,68.789,998989.331,-606394.955,29.688,23.247
36,148.12808334609380,206.87825798242943,67.859,998987.766,-606398.043,31.820,23.247
37,151.58948234116127,165.46240184290627,67.758,998986.201,-606401.130,32.320,23.247
38,154.64334786707795,124.04654570204256,68.148,998988.732,-606402.840,32.250,23.247
39,157.69721339292946,132.52461460851964,68.344,998991.262,-606404.550,31.820,23.247
40,162.32724720193841,141.00268351534172,68.336,998994.176,-606408.148,30.922,24.693
41,166.95728101102063,134.13482722588387,68.375,998997.089,-606411.746,30.289,24.693
42,170.72611393028288,127.26697093769005,68.586,999000.088,-606414.029,28.844,24.693
43,174.49494684961564,158.02975561451885,68.891,999003.088,-606416.311,28.250,24.693
44,178.59167005819884,188.79254028983891,68.172,999002.462,-606420.359,28.797,24.693
45,182.68839326676425,188.79254028983891,68.109,999001.835,-606424.408,29.609,24.693
46,186.78511647534745,188.79254029064347,68.844,999001.209,-606428.457,29.484,24.693
47,190.88183968393065,187.87284011404972,69.844,999000.583,-606432.505,29.281,24.693
48,193.70875644449919,186.95313993759885,70.164,999000.241,-606435.311,29.148,24.693
49,196.53567320495225,159.79569834880459,70.609,998999.899,-606438.117,29.219,24.693
50,199.04226871161461,132.63825675888876,70.633,999001.742,-606439.815,28.828,24.693
51,201.54886421819805,94.27471787632393,70.766,999003.586,-606441.513,28.234,24.693
52,204.65505972649331,55.91117899384870,71.047,999006.159,-606439.772,27.641,24.693
53,207.76125523485385,72.42891056640994,71.414,999008.731,-606438.031,27.234,24.693
54,212.15712258199852,88.94664214061892,72.500,999013.126,-606437.950,26.102,24.693
55,216.55298992914109,88.94664214061892,73.242,999017.522,-606437.870,25.203,24.693
56,220.94885727628579,42.95421207507661,73.750,999021.917,-606437.789,24.797,24.693
57,225.80135676386999,3.83422877262598,74.078,999021.660,-606432.943,24.422,24.693
58,228.63472998662124,10.70667553611567,74.500,999022.186,-606430.159,23.789,24.693
59,231.46810320939409,39.74799053900132,75.141,999022.712,-606427.375,22.891,24.693
60,234.37605245400627,96.45422977552762,75.297,999025.423,-606426.323,22.125,24.693
61,238.60715559522671,124.11915401011440,75.258,999028.926,-606428.696,21.664,24.693
62,242.83825873628547,105.25661015476538,75.211,999032.429,-606431.069,21.648,24.693
63,245.97894894918031,86.39406629962681,75.305,999035.563,-606430.872,21.648,24.693
64,249.11963916207520,103.48825659482192,75.359,999038.698,-606430.674,21.281,24.693
65,253.35173875430303,120.58244689001702,75.297,999042.341,-606432.828,20.227,24.693
66,257.58383834653085,120.58244689001702,75.328,999045.985,-606434.981,19.742,24.693
67,261.81593793875868,119.17992031417072,75.609,999049.628,-606437.134,18.797,24.693
68,265.39399826755653,117.77739373749972,76.016,999052.794,-606438.802,18.820,24.693
69,268.97205859630009,117.77739373749972,76.195,999055.960,-606440.469,18.453,24.693
70,272.55011892509793,108.37582549354840,76.656,999059.125,-606442.137,18.031,24.693
71,276.12920983156857,98.97425724877235,77.445,999062.661,-606442.695,18.266,24.693
72,279.70830073803921,116.30918413090890,78.477,999066.196,-606443.253,18.531,24.693
73,282.35147705343678,133.64411101395854,78.648,999068.109,-606445.077,18.352,24.693
74,284.99465336891467,154.66669591192655,78.977,999070.021,-606446.902,18.539,24.693
75,288.78880328724591,175.68928080810502,78.570,999070.306,-606450.685,18.539,24.693
76,292.58295320558591,160.22798361929028,78.484,999070.592,-606454.469,18.539,24.693
77,296.04044825493634,144.76668643135204,78.727,999072.586,-606457.293,18.719,24.693
78,299.49794330428676,133.57002037912514,78.773,999074.581,-606460.117,18.813,24.693
79,302.83870025703777,122.37335432605509,78.992,999077.402,-606461.906,18.586,24.693
80,306.17945720972648,123.23896874823700,79.305,999080.224,-606463.694,17.492,24.693
81,308.83543008953228,124.10458317126204,79.383,999082.423,-606465.183,16.570,24.693
82,311.49140296933808,127.88153733110067,79.461,999084.622,-606466.673,15.750,24.693
83,315.48706169798118,131.65849149211772,79.594,999087.608,-606469.329,15.484,24.693
84,319.48272042661466,131.65849149211775,80.211,999090.593,-606471.984,15.039,24.693
85,323.47837915525776,139.90549927469920,80.477,999093.578,-606474.640,14.773,30.783
86,327.75450445673363,148.15250705912160,81.008,999095.834,-606478.273,14.664,30.783
87,332.03062975814805,151.98364284068975,81.602,999098.091,-606481.905,14.523,30.783
88,334.70579245527716,155.81477862108463,81.359,999099.187,-606484.345,14.523,30.783
89,337.38095515230009,125.52047255707024,81.227,999100.283,-606486.786,14.406,30.783
90,341.10232512930742,95.22616649356659,81.234,999103.989,-606487.125,14.281,30.783
91,344.82369510631474,112.40905348717484,81.445,999107.695,-606487.464,14.055,30.783
92,348.92027994332125,135.71632140213435,81.063,999110.851,-606490.075,14.078,30.783
93,352.82118729555469,141.84070232401385,81.148,999113.262,-606493.142,14.188,27.073
94,356.72209464787966,141.84070232454209,81.172,999115.672,-606496.209,14.336,27.073
95,360.62300200020462,141.84070232401385,82.195,999118.082,-606499.276,14.578,27.073
96,364.52390935243807,153.21996458988806,82.297,999120.492,-606502.344,14.641,27.073
97,369.48762328113003,164.59922685675983,82.227,999121.810,-606507.129,14.641,27.073
98,374.45133720967885,139.89410005712710,83.141,999123.128,-606511.915,14.656,27.073
99,377.68038437815437,115.18897325746462,83.836,999126.050,-606513.289,14.609,27.073
100,380.90943154652450,96.10198639961357,84.039,999128.972,-606514.663,14.578,27.073
101,383.54911865882531,103.22278304182252,84.273,999131.545,-606514.070,14.563,27.073
102,387.19207962703081,129.43056654244776,84.609,999134.358,-606516.384,14.469,27.073
103,390.83504059540019,139.38683380708281,84.648,999137.172,-606518.698,14.367,27.073
104,394.07407174925441,149.34310107159223,84.750,999138.824,-606521.484,14.367,27.073
105,397.31310290310864,147.78915722337462,84.789,999140.475,-606524.270,14.078,27.073
106,401.65450656719338,146.23521337536872,85.016,999142.888,-606527.879,13.875,27.073
107,405.99591023111645,111.89904297387014,85.141,999145.301,-606531.489,13.688,27.073
108,410.62564224870147,109.86942468941402,85.719,999149.822,-606530.491,13.789,27.073
109,414.84133695305974,142.17597680777823,86.211,999152.407,-606533.821,13.992,27.073
110,419.05703165743864,150.45524507307985,86.055,999154.993,-606537.151,14.047,27.073
111,421.76722179662494,158.73451333727144,85.844,999155.976,-606539.677,14.047,27.073
112,424.47741193581118,179.10221513739850,85.891,999156.959,-606542.203,14.094,27.073
113,428.58919517067710,178.49159728370606,85.586,999155.588,-606546.079,13.750,27.073
114,432.01867071005222,132.29333602568320,85.797,999156.900,-606549.248,13.930,27.073
115,435.93322859477394,107.07339442147988,86.375,999160.642,-606550.397,13.609,27.073
116,439.84778647949560,116.93310821502325,87.047,999164.384,-606551.547,13.844,27.073
117,443.27378696462898,126.79282200778709,87.203,999167.127,-606553.599,14.047,27.073
118,446.69978744969262,117.72687891421138,87.250,999169.871,-606555.650,14.250,27.073
119,450.96261681759478,108.66093582166556,87.359,999173.910,-606557.014,14.586,27.073
120,455.22544618538677,121.08194663757776,87.375,999177.948,-606558.378,14.852,27.073
121,458.69264252233938,133.50295745393737,87.484,999180.463,-606560.765,15.039,27.073
122,462.15983885937214,147.76632797908456,87.602,999182.978,-606563.152,15.117,27.073
123,466.00644791299806,162.02969850409127,87.805,999184.165,-606566.811,15.188,27.073
124,469.85305696647725,162.02969850409127,87.625,999185.352,-606570.470,15.188,27.073
125,473.69966602010322,156.20572171994692,87.922,999186.539,-606574.129,16.328,27.073
126,477.39242834578562,150.38174493602097,88.094,999188.364,-606577.339,16.352,27.073
127,481.08519067162678,119.51931588105218,88.289,999190.189,-606580.549,17.102,27.073
128,484.40767808310551,88.65688682541867,88.305,999193.510,-606580.472,16.039,27.073
129,487.73016549458697,109.65009891995400,88.648,999196.832,-606580.394,13.289,27.073
130,492.49410921745385,130.64331101450568,88.891,999200.447,-606583.497,12.375,27.073
131,497.25805294033330,129.81974827034330,89.133,999204.061,-606586.600,12.664,27.073
132,500.49302869193320,128.99618552651933,89.336,999206.576,-606588.635,12.781,27.073
133,503.72800444362366,143.23517969059165,89.563,999209.090,-606590.671,13.188,27.073
134,507.94253536806423,157.47417385488490,89.695,999210.704,-606594.564,14.984,32.159
135,512.15706629265696,157.17102998715828,89.875,999212.319,-606598.457,16.555,32.159
136,515.81971527688836,156.86788611985949,89.875,999213.758,-606601.825,17.680,32.159
137,519.48236426111976,136.53966900667254,89.891,999215.197,-606605.193,18.445,32.159
138,522.31809897795017,116.21145189348560,89.875,999217.741,-606606.446,18.531,32.159
139,525.15383369478059,101.85753115430138,90.039,999220.285,-606607.698,17.141,32.159
140,528.07900554185608,87.50361041630588,90.258,999223.207,-606607.571,16.516,32.159
