vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,256.51066869381754,351.250,-1023745.680,-1550939.375,35.906,2.608
1,3.97732155050574,256.51066869218681,353.156,-1023749.547,-1550940.303,36.656,2.608
2,7.95464310106579,272.83785305503488,353.883,-1023753.415,-1550941.230,37.227,2.608
3,12.36679745371647,274.15252561240482,354.031,-1023757.583,-1550939.782,37.727,2.608
4,15.52624917747404,215.53845207266212,354.273,-1023760.685,-1550940.377,37.844,2.608
5,17.51894774555536,155.06544487757103,354.797,-1023760.406,-1550942.350,37.844,2.608
6,19.61024505207769,166.37877594629188,354.398,-1023759.012,-1550943.909,37.898,2.608
7,22.68625441083776,192.06087354499300,354.547,-1023759.785,-1550946.886,37.914,2.608
8,25.41757123936762,162.42201753183519,355.508,-1023760.239,-1550949.580,37.844,2.608
9,28.52699521124700,155.74388490026467,354.922,-1023758.051,-1550951.789,37.914,2.608
10,31.15424718788414,176.20192934954304,355.695,-1023757.877,-1550954.411,37.727,2.608
11,33.78149916475361,195.74077130472287,356.445,-1023757.703,-1550957.032,37.727,2.608
12,37.17468071899531,242.00146374654517,357.664,-1023759.663,-1550959.802,37.914,2.608
13,41.16847726350000,272.60942288664063,358.844,-1023763.656,-1550959.891,37.461,2.608
14,44.94580650913851,288.29515616582694,359.969,-1023767.409,-1550959.464,36.617,2.608
15,47.11661205639922,303.37904904625884,360.664,-1023769.287,-1550958.375,36.430,2.608
16,49.86564980276652,303.27985593637192,360.430,-1023771.492,-1550956.734,36.578,2.608
17,51.94787563232270,270.82976017607751,360.172,-1023773.297,-1550955.696,36.922,2.608
18,55.32030908708698,270.04596762538506,361.664,-1023776.268,-1550957.292,37.078,2.608
19,58.42872833747256,315.73378205209781,360.773,-1023779.004,-1550955.817,37.172,2.608
20,62.13706095551302,312.56671528371453,360.773,-1023780.680,-1550952.508,37.023,2.608
21,64.52471861389832,281.02486886009484,361.195,-1023782.894,-1550951.614,36.828,2.608
22,67.91026430991438,267.05760644325329,362.297,-1023786.279,-1550951.611,36.531,2.608
23,71.10419829091416,280.89609658136612,362.773,-1023789.456,-1550951.941,36.859,2.608
24,74.60688904685996,296.29470244226479,363.328,-1023792.557,-1550950.311,37.539,2.608
25,77.09874920707630,271.02285060723500,363.336,-1023794.818,-1550949.264,38.172,2.608
26,79.93514578488831,260.35445740199293,363.969,-1023797.432,-1550950.364,38.508,2.608
27,82.38355234093990,275.19626868754756,364.313,-1023799.876,-1550950.213,39.063,2.608
28,86.33328197764776,274.14158732502983,364.586,-1023803.797,-1550949.741,39.859,2.608
29,88.30531768540096,267.02468607752439,364.664,-1023805.769,-1550949.692,39.875,2.608
30,90.28349552200655,281.58268604293943,365.078,-1023807.731,-1550949.946,39.469,2.608
31,93.59615161595570,300.52721361671638,365.867,-1023810.584,-1550948.263,38.805,2.608
32,96.90880771000514,322.24003197083039,366.398,-1023813.438,-1550946.580,38.656,2.608
33,101.87239869648930,315.73083797180357,368.039,-1023814.810,-1550941.810,38.766,2.608
34,103.54073278381594,272.64623670043403,368.188,-1023816.401,-1550941.308,39.094,2.608
35,106.50337979973352,261.02049708426114,368.055,-1023819.296,-1550941.935,39.445,2.608
36,109.20700564691464,243.74934237589201,367.633,-1023821.986,-1550942.206,39.445,2.608
37,112.32975116391403,214.37045452957616,367.781,-1023824.126,-1550944.480,39.086,2.608
38,115.51129816259353,228.28606321486612,367.781,-1023825.495,-1550947.352,39.086,2.608
39,117.72811830952053,265.52202260088865,368.688,-1023827.592,-1550948.071,38.492,2.608
40,119.95413151057755,303.32631572807503,369.117,-1023829.785,-1550947.686,38.398,2.608
41,122.71281943675238,336.46708392927661,369.641,-1023831.300,-1550945.380,38.172,2.608
42,124.70031967724876,7.02838075687851,369.531,-1023831.772,-1550943.450,38.172,2.608
43,126.51257523965037,341.56355584451251,369.531,-1023830.927,-1550941.847,38.172,2.608
44,128.24478372909857,286.15813837102951,369.719,-1023832.493,-1550941.106,38.664,2.608
45,132.49959113090975,296.60491579211879,370.695,-1023836.716,-1550940.588,38.250,2.608
46,135.35332062705589,301.36497893968857,371.008,-1023838.690,-1550938.528,37.320,2.608
47,137.15466331568481,279.78992460582759,371.234,-1023840.417,-1550938.016,36.945,2.608
48,139.29511298998665,271.17601119325792,371.633,-1023842.555,-1550937.901,36.938,2.608
49,141.86310565671681,299.00594147401813,371.656,-1023845.123,-1550937.933,37.039,2.608
50,143.46889195321342,294.96255195276325,371.656,-1023845.956,-1550936.561,37.039,2.608
51,145.35487766669820,278.40989244384457,371.930,-1023847.820,-1550936.849,37.133,1.480
52,147.67557277387860,301.58535798047620,372.625,-1023849.913,-1550935.846,36.992,1.480
53,149.60263822371905,312.36787345541518,373.641,-1023851.440,-1550934.671,36.828,1.480
54,152.19276250282132,315.80784405190713,374.445,-1023853.201,-1550932.771,36.492,1.480
55,154.41167549946101,292.15410548480793,374.492,-1023854.785,-1550931.218,36.125,1.480
56,156.35377612493397,272.61223218561963,374.719,-1023856.727,-1550931.222,35.867,1.480
57,158.97644394051065,285.47997878886054,374.961,-1023859.339,-1550930.978,35.750,1.480
58,161.27546091495827,309.86305135600486,375.281,-1023861.412,-1550929.984,35.867,1.480
59,162.66298788285971,317.18755027723529,375.570,-1023862.225,-1550928.860,35.664,1.480
60,164.59367989352245,311.27671973607130,375.391,-1023863.698,-1550927.612,35.664,1.480
61,167.41749463387356,303.71042143386779,375.547,-1023865.787,-1550925.712,35.570,1.480
62,170.15631605760180,306.51844453991720,376.352,-1023868.267,-1550924.549,35.516,1.480
63,172.59112196952464,330.86935394698941,376.219,-1023869.899,-1550922.742,35.516,1.480
64,174.20427840027963,322.29687263257648,376.773,-1023870.348,-1550921.193,35.133,1.480
65,175.51875336166239,285.30553492801999,376.773,-1023871.478,-1550920.520,35.133,1.480
66,177.29135615886000,279.87762381060207,377.039,-1023873.250,-1550920.525,34.984,1.480
67,179.79537315637677,306.88999371659855,377.477,-1023875.605,-1550919.672,35.039,1.480
68,182.04667920719464,289.40256638819341,377.227,-1023876.932,-1550917.854,35.203,1.480
69,183.96781162809216,295.58513509318249,378.336,-1023878.787,-1550918.353,35.406,1.480
70,186.07800389060256,348.85523511714632,377.773,-1023879.637,-1550916.422,35.406,1.480
71,188.51096652135399,359.25778820999693,377.742,-1023879.575,-1550913.990,35.406,1.480
72,191.46267784243335,341.56708115376244,378.070,-1023879.727,-1550911.042,35.406,1.480
73,193.01557236841265,292.25313210650057,378.516,-1023880.593,-1550909.753,35.289,1.480
74,196.11910853142433,239.81598853719325,378.102,-1023883.634,-1550910.377,35.313,1.480
75,198.54173308134423,240.85487768692127,378.422,-1023885.230,-1550912.199,35.055,1.480
76,200.25047432138905,269.99423950598720,378.891,-1023886.915,-1550912.481,34.836,1.480
77,202.38744572891295,308.60845624035261,379.602,-1023889.023,-1550912.129,34.828,1.480
78,204.57383579536227,334.93808486443925,379.180,-1023889.852,-1550910.105,34.828,1.480
79,208.37992141476332,320.24411022408168,379.664,-1023891.630,-1550906.740,34.922,1.480
80,211.37794557539203,297.75419816171745,380.227,-1023893.981,-1550904.881,35.078,1.480
81,213.51291202412477,273.39854815171208,380.477,-1023896.021,-1550904.250,35.336,1.480
82,216.21330164804328,293.91822733256032,380.664,-1023898.677,-1550904.737,35.438,1.480
83,218.59769616157615,321.71869298568936,380.359,-1023899.933,-1550902.710,35.438,1.480
