vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,199.22103117593815,94.445,1000351.083,-606273.973,25.039,5.008
1,4.28699639807335,199.22103117568204,96.281,1000349.672,-606278.021,25.742,5.008
2,8.57399279625663,185.57988788624607,96.688,1000348.261,-606282.069,26.125,5.008
3,11.56627150244495,171.93874459722252,96.813,1000348.680,-606285.032,26.320,5.008
4,14.55855020874854,138.59795773792865,97.258,1000349.100,-606287.995,26.516,5.008
5,19.21936221150512,105.25717087866676,95.844,1000353.596,-606289.221,26.711,5.008
6,23.88017421414939,113.13332591036279,95.391,1000358.093,-606290.448,26.906,5.008
7,27.86424400341024,121.00948094258791,95.945,1000361.508,-606292.500,27.141,5.008
8,31.84831379273106,126.03566657364654,96.344,1000364.922,-606294.553,27.414,5.008
9,35.80310157412854,131.06185220343374,96.727,1000367.904,-606297.150,27.672,5.008
10,39.75788935561379,169.38253057121375,97.172,1000370.886,-606299.748,27.906,5.008
11,42.77858990225405,207.70320893954772,97.336,1000369.482,-606302.423,28.266,5.008
12,45.79929044889432,173.87777443251525,97.836,1000368.078,-606305.097,28.398,5.008
13,49.81802631469306,140.05233992537939,98.695,1000370.658,-606308.178,28.664,5.008
14,53.83676218065578,122.56761296337508,99.188,1000373.238,-606311.259,28.797,5.008
15,57.74333027906782,105.08288600147417,99.313,1000377.010,-606312.275,28.836,5.008
16,61.64989837747984,99.10467924023182,98.602,1000380.782,-606313.292,28.836,5.008
17,64.75186310965124,93.12647247904815,98.477,1000383.880,-606313.461,29.195,5.008
18,67.85382784170638,113.69167214233448,98.688,1000386.977,-606313.630,29.938,5.008
19,71.28535872721125,134.25687180625826,99.008,1000389.435,-606316.025,29.742,5.008
20,74.71688961279735,134.25687180625826,99.211,1000391.892,-606318.420,30.188,5.008
21,78.14842049830220,144.74883038870485,99.813,1000394.350,-606320.815,30.875,5.008
22,82.22709468998384,155.24078897110499,100.039,1000396.058,-606324.518,31.398,5.008
