vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,81.77469153726386,52.625,999470.546,-606064.927,29.891,7.728
1,4.19522655499835,81.77469153816438,52.820,999474.698,-606064.327,29.586,6.808
2,8.39045311009526,40.17637407498029,53.266,999478.850,-606063.727,28.898,6.808
3,11.67710095910747,358.57805660988123,53.273,999478.769,-606060.441,28.609,6.808
4,14.96374880812256,348.34713029542559,53.172,999478.687,-606057.155,28.117,6.808
5,18.46519351761123,338.11620398251318,52.906,999477.382,-606053.906,27.922,6.808
6,21.96663822694847,338.11620398251318,52.875,999476.077,-606050.657,27.695,6.808
7,25.46808293643714,344.40261938677980,52.875,999474.772,-606047.408,27.477,6.808
8,29.06347755567659,350.68903479249059,52.922,999474.190,-606043.860,26.719,6.808
9,32.65887217489721,38.07521425631569,53.000,999473.609,-606040.312,26.656,6.808
10,36.82394319002683,100.14701373913213,52.688,999477.761,-606039.982,25.375,6.808
11,40.33446481047413,114.83263375817673,52.555,999480.946,-606041.457,25.008,6.808
12,43.84498643087255,75.45073064159726,52.523,999484.132,-606042.931,24.578,6.808
13,48.01523586974196,36.06882752587989,52.289,999486.588,-606039.560,23.023,6.808
14,52.18548530861138,70.09546233609512,52.219,999489.043,-606036.189,21.922,6.808
15,55.00212617972188,104.12209714602147,52.273,999491.774,-606036.877,21.367,6.808
16,57.81876705094526,106.42021638324687,52.461,999494.506,-606037.564,20.219,6.808
17,60.57025010172444,108.71833562190911,52.602,999497.112,-606038.447,20.258,6.808
18,63.32173315254096,113.61614161154623,52.703,999499.718,-606039.330,19.711,6.808
19,66.24876666364324,118.51394760103651,52.922,999502.290,-606040.727,19.234,6.808
20,69.17580017480110,124.24454250640783,53.031,999504.862,-606042.124,19.328,6.808
21,72.71478139740866,129.97513741066120,53.164,999507.574,-606044.398,19.383,6.808
22,76.25376261985222,138.88967990433295,53.445,999510.286,-606046.672,18.742,6.808
23,79.61037982891200,147.80422239949164,53.633,999512.074,-606049.512,18.820,6.808
24,82.96699703800827,136.80147859640127,53.797,999513.863,-606052.353,20.203,6.808
25,86.82322471615549,125.79873479264216,54.133,999516.990,-606054.608,19.688,6.808
26,90.67945239437083,122.42838706041827,54.406,999520.118,-606056.864,19.344,6.808
27,94.22899023280694,119.05803932785793,54.563,999523.221,-606058.588,19.406,6.808
28,97.77852807140135,126.11775861758096,54.766,999526.324,-606060.312,18.906,6.808
29,100.69485576781931,133.17747790610514,54.914,999528.450,-606062.307,18.906,6.808
30,103.61118346415753,143.96393390389065,55.063,999530.577,-606064.303,18.953,6.808
31,108.02161861399500,159.67929392421681,55.203,999532.458,-606068.292,19.508,6.808
32,112.45918337305318,169.37686484058105,55.188,999533.636,-606072.570,20.578,6.808
33,115.15856798031383,157.57687422581833,55.195,999533.912,-606075.256,21.133,6.808
34,117.77072891283709,141.00821671540572,55.281,999535.555,-606077.286,21.195,6.808
35,120.38288984543354,140.33835671739129,55.359,999537.199,-606079.316,21.328,6.808
36,125.06615291052854,143.34915515142725,55.500,999540.230,-606082.886,21.563,6.808
37,127.66643057641949,147.02981358356135,55.516,999541.645,-606085.068,22.109,6.808
38,130.26670824224706,118.09126877289383,55.570,999543.060,-606087.249,22.086,6.808
39,133.04067821990927,89.15272395994812,55.617,999545.834,-606087.208,21.539,6.808
40,135.81464819757321,99.87325120994964,55.844,999548.607,-606087.167,20.563,6.808
41,140.54023559493947,104.77809954864850,56.102,999553.031,-606088.830,20.164,6.808
42,144.95867378766974,118.93578543063713,56.453,999557.395,-606089.518,19.328,6.808
43,148.72018728757729,158.81192052295833,56.328,999559.868,-606092.353,20.016,6.808
44,151.34571430188572,178.71469082075771,56.164,999559.927,-606094.978,20.570,6.808
45,153.97124131607777,200.80172332575057,56.016,999559.985,-606097.603,21.117,6.808
46,157.27514603868383,222.88875583071933,55.781,999557.737,-606100.023,22.602,6.808
47,160.57905076112539,207.77039665315584,55.844,999555.488,-606102.444,23.477,6.808
48,163.34691287108768,192.65203747682068,56.031,999554.882,-606105.145,23.906,6.808
49,166.11477498107547,170.83384715580857,56.266,999554.276,-606107.845,24.313,6.808
50,170.75906328219304,143.14949026357851,56.766,999556.667,-606111.827,24.688,6.808
51,173.41562543261165,137.28332369438778,56.961,999558.469,-606113.779,24.672,13.230
52,176.07218758311578,129.51358360927631,57.102,999560.271,-606115.730,24.727,13.230
53,181.00852499747407,115.48401063569298,57.281,999564.469,-606118.328,25.047,13.230
54,184.96971612466928,136.72887346169276,57.422,999568.209,-606119.632,24.391,13.230
55,188.31501983804745,180.96676946247641,57.500,999569.118,-606122.851,25.258,13.230
56,192.17074039604941,197.69996974990292,57.609,999567.946,-606126.524,26.281,13.230
57,196.02646095394039,200.85568491570723,57.922,999566.774,-606130.198,26.961,13.230
58,199.68527639054608,204.01140008208117,58.281,999565.285,-606133.540,27.484,13.230
59,203.34409182719912,187.44668768970689,58.938,999563.796,-606136.882,28.180,13.230
60,206.55348521967565,170.88197529649992,59.156,999564.305,-606140.051,28.344,13.230
61,209.76287861215212,171.47586258041306,59.320,999564.813,-606143.220,28.531,13.230
62,212.52858191811077,172.06974986432621,59.469,999565.195,-606145.959,28.758,13.230
