vertex_index,distance,angle,elev,x,y,Velocity,relief
0,0.00000000000000,101.91353851439048,3969.897,-1481696.119,764671.090,152.817,30.344
1,3.11937199589878,101.91353851543660,3969.897,-1481693.067,764670.446,152.817,30.344
2,6.23874399182160,116.78387259140980,3969.897,-1481690.015,764669.802,152.817,30.344
3,10.26793715995976,131.65420666743711,3970.201,-1481687.004,764667.124,152.506,30.344
4,14.29713032792395,108.51967223806980,3967.425,-1481683.994,764664.446,152.506,30.046
5,17.31770068976326,85.38513780742454,3967.425,-1481680.983,764664.689,152.506,30.046
6,20.33827105137051,90.67247098894552,3968.015,-1481677.972,764664.932,152.506,30.046
7,24.48253639216833,95.95980417064413,3968.015,-1481673.850,764664.501,152.506,30.046
8,28.62680173296615,110.02348221072774,3968.530,-1481669.728,764664.071,152.506,30.046
9,31.83941440261523,124.08716025167109,3968.530,-1481667.068,764662.271,152.506,30.046
10,35.05202707232955,127.92608439153648,3968.530,-1481664.407,764660.470,152.506,30.046
11,38.16610608660376,131.76500853054213,3968.728,-1481662.084,764658.396,152.506,30.046
12,41.28018510087797,111.83206774016800,3966.872,-1481659.762,764656.322,152.506,29.209
13,45.27036950472048,91.89912694973846,3966.872,-1481655.774,764656.189,152.506,29.209
14,49.26055390879570,78.80198180896204,3966.295,-1481651.786,764656.057,152.506,29.209
15,51.94050218472206,65.70483666721698,3966.295,-1481649.343,764657.160,152.506,29.209
16,54.62045046043624,77.57196118153692,3965.081,-1481646.900,764658.263,152.506,29.209
17,59.31575860405308,107.42243141212217,3965.081,-1481642.205,764658.308,152.506,29.209
18,62.57447931529986,125.40577712736346,3965.081,-1481639.549,764656.420,152.506,29.209
19,65.83320002654662,100.48504336062256,3963.726,-1481636.893,764654.533,152.506,29.209
20,69.07084776390488,75.56430959339770,3963.726,-1481633.758,764655.340,152.506,29.209
21,72.30849550151764,58.99394913371112,3963.726,-1481630.622,764656.147,152.506,29.209
22,74.81173386075608,42.42358867360971,3962.392,-1481628.933,764657.995,152.506,29.209
23,77.31497222008046,75.40394474090928,3964.712,-1481627.245,764659.842,152.506,30.046
24,81.46186835069702,132.46873826721927,3964.712,-1481623.310,764658.535,152.506,30.046
25,85.46941183315350,170.26193580040467,3960.506,-1481621.715,764654.858,152.506,29.209
26,88.70448115637122,183.97069587753529,3960.506,-1481621.939,764651.631,152.506,29.209
27,91.93955047960505,183.12390298499523,3957.606,-1481622.163,764648.403,152.506,28.771
28,95.10468203882525,182.27711009254591,3959.434,-1481622.289,764645.241,152.506,28.771
29,98.26981359793838,172.55185978784465,3959.434,-1481622.415,764642.078,152.506,28.771
30,101.57565066510131,145.98046302643894,3956.642,-1481621.438,764638.920,152.506,29.049
