vertex_index,distance,angle,elev,x,y,relief,velocity
0,0.00000000000000,317.21071991124523,334.578,-1023619.509,-1551103.772,39.086,2.202
1,2.92339925654722,294.16357464116953,335.680,-1023621.495,-1551101.627,38.820,2.202
2,5.57186660150139,253.54181185246281,336.875,-1023624.143,-1551101.575,39.109,2.202
3,9.24614853229995,232.41783248163085,336.961,-1023627.188,-1551103.632,39.414,2.202
4,11.78380501511146,228.86847062943011,337.891,-1023629.099,-1551105.301,39.781,2.202
5,14.32146149792297,260.79387331559320,339.414,-1023631.010,-1551106.970,40.375,2.202
6,18.71106312778790,292.71927600286455,341.180,-1023635.059,-1551105.275,40.984,2.202
7,23.10066475785014,292.97237224762875,342.922,-1023639.108,-1551103.579,41.227,2.202
8,25.73231157974442,293.22546848895558,343.359,-1023641.527,-1551102.542,41.156,2.202
9,28.36395840154689,293.88059935701159,344.250,-1023643.945,-1551101.504,41.313,2.202
10,31.20608612343199,274.36319224734763,345.117,-1023646.531,-1551100.324,41.250,2.202
11,33.07396562790299,265.39060002769543,345.633,-1023648.328,-1551100.833,41.250,2.202
12,35.69229589215542,313.86426232647494,346.172,-1023650.929,-1551100.532,40.938,2.202
13,39.32389842746881,314.16690701142790,346.820,-1023651.488,-1551096.944,40.867,2.202
14,41.50513634506682,280.53758635181475,347.164,-1023653.652,-1551096.671,40.336,2.202
15,45.90561783441404,289.61475705827155,348.055,-1023657.924,-1551095.615,40.016,2.202
16,48.70566646354300,294.93393112613546,348.820,-1023660.455,-1551094.416,40.563,2.202
17,52.35868324375402,317.48394881157208,349.484,-1023663.779,-1551092.900,40.727,2.202
18,55.33577280094996,330.37844853270462,350.102,-1023664.775,-1551090.095,41.008,2.202
19,58.78509930163326,302.14712473227752,351.195,-1023666.978,-1551087.441,40.977,2.202
20,60.01261569126502,269.31517534874405,351.359,-1023668.169,-1551087.144,40.969,2.202
21,62.22311632231490,270.57748565607255,351.313,-1023670.300,-1551087.729,40.961,2.202
22,64.20971121325030,280.17777667959672,351.789,-1023672.205,-1551087.165,40.914,2.202
23,65.83030256255874,259.85313351448519,351.789,-1023673.822,-1551087.056,40.914,2.202
24,68.60674027401220,278.83443641955876,352.211,-1023676.356,-1551088.191,40.383,2.202
25,70.84260296881386,322.62414347511782,352.844,-1023678.022,-1551086.701,39.922,2.202
26,74.17056269196294,307.34296444519771,353.773,-1023679.510,-1551083.724,39.922,2.202
27,78.22374516869679,266.60450218441309,354.750,-1023683.486,-1551082.934,38.914,2.202
28,79.82438651722268,266.06329023175704,355.203,-1023685.008,-1551083.429,39.234,2.202
29,83.20908655326944,289.43117005347955,356.023,-1023688.339,-1551082.832,38.992,2.202
30,86.42011027200815,298.72012297772557,356.461,-1023691.156,-1551081.290,38.852,2.202
31,88.75678991772480,284.35217762061961,356.891,-1023693.205,-1551080.167,38.797,2.202
32,91.00138940253316,278.09426112785064,357.164,-1023695.449,-1551080.168,38.664,2.202
33,93.83890081280694,304.44585108350981,357.695,-1023698.174,-1551079.375,38.195,2.202
34,96.80053600329798,302.19831873887625,357.797,-1023699.970,-1551077.020,38.195,2.202
35,97.93228779029540,266.34997217655240,358.195,-1023701.078,-1551076.790,37.594,2.202
36,99.92345036843396,250.58532963959948,358.516,-1023702.960,-1551077.440,37.328,2.202
37,101.84178742195910,271.08938320225099,358.531,-1023704.765,-1551078.089,37.484,2.202
38,103.81787950293126,303.03595430633317,358.578,-1023706.598,-1551077.350,37.250,2.202
39,105.85590243516533,326.63542194868165,358.344,-1023708.061,-1551075.932,37.023,2.202
40,108.27439578686098,302.12614495811926,358.789,-1023708.921,-1551073.671,37.023,2.202
41,112.41758293015654,249.01140083991359,359.227,-1023713.049,-1551074.027,37.164,2.202
42,113.97581586856565,206.90320730949435,360.055,-1023714.293,-1551074.966,36.695,2.202
43,117.07023476525895,197.46735055480465,359.570,-1023714.339,-1551078.060,36.695,2.202
44,119.26356751193372,234.10360761922581,359.570,-1023715.568,-1551079.877,36.695,2.202
45,121.04409154210467,276.57545631409209,359.813,-1023717.280,-1551080.363,36.180,2.202
46,123.69650637877162,289.74935160904852,360.273,-1023719.600,-1551079.077,36.172,2.202
47,125.00526440527285,263.86745409427220,360.563,-1023720.887,-1551078.839,35.844,2.202
48,126.35430971105851,246.60057277747251,360.906,-1023722.131,-1551079.360,35.664,2.202
49,127.63860464749814,258.48518357673959,360.906,-1023723.304,-1551079.884,35.664,2.202
50,129.16333738874133,280.66193597794461,361.211,-1023724.828,-1551079.856,35.609,2.202
51,131.54953847715561,286.07396305407701,361.617,-1023727.066,-1551079.029,35.539,2.202
52,133.71406790146946,284.44454982367796,361.813,-1023729.185,-1551078.584,35.172,1.326
53,134.70678002306329,266.04930767643691,362.008,-1023730.134,-1551078.293,34.977,1.326
54,138.75845388801676,242.90070981844616,362.039,-1023733.808,-1551080.002,34.742,1.326
55,141.73942917452456,250.67096615785945,362.641,-1023736.408,-1551081.459,34.336,1.326
